iter	Passed	Remaining
0	30	30740
1	108	53945
2	128	42715
3	198	49302
4	216	43176
5	260	43092
6	275	39023
7	299	37077
8	316	34824
9	327	32388
10	340	30643
11	354	29163
12	370	28167
13	398	28040
14	412	27106
15	448	27556
16	463	26810
17	485	26460
18	507	26213
19	533	26149
20	551	25732
21	566	25168
22	583	24805
23	600	24403
24	621	24222
25	645	24164
26	664	23942
27	680	23631
28	703	23542
29	729	23593
30	749	23421
31	768	23258
32	789	23136
33	813	23125
34	830	22899
35	852	22836
36	869	22639
37	892	22604
38	914	22541
39	935	22452
40	944	22098
41	979	22348
42	1000	22275
43	1025	22284
44	1046	22202
45	1061	22024
46	1081	21937
47	1146	22747
48	1165	22620
49	1181	22443
50	1195	22252
51	1217	22189
52	1238	22135
53	1254	21974
54	1269	21810
55	1288	21722
56	1298	21489
57	1311	21305
58	1327	21165
59	1342	21039
60	1358	20912
61	1373	20784
62	1387	20641
63	1403	20529
64	1419	20423
65	1435	20315
66	1451	20211
67	1467	20116
68	1483	20014
69	1501	19945
70	1521	19913
71	1545	19916
72	1569	19928
73	1588	19882
74	1601	19751
75	1616	19658
76	1624	19472
77	1640	19395
78	1656	19311
79	1673	19244
80	1688	19158
81	1700	19032
82	1712	18924
83	1723	18794
84	1739	18720
85	1748	18585
86	1765	18525
87	1782	18469
88	1797	18399
89	1804	18241
90	1813	18113
91	1828	18051
92	1844	17986
93	1852	17856
94	1869	17811
95	1885	17751
96	1891	17606
97	1903	17515
98	1921	17483
99	1928	17358
100	1944	17304
101	1951	17177
102	1963	17103
103	1981	17071
104	1986	16929
105	2006	16920
106	2021	16871
107	2029	16760
108	2039	16669
109	2055	16627
110	2073	16606
111	2091	16583
112	2103	16515
113	2119	16474
114	2125	16353
115	2138	16300
116	2149	16223
117	2153	16099
118	2165	16032
119	2183	16008
120	2198	15971
121	2206	15879
122	2220	15829
123	2231	15764
