iter	Logloss
0	0.6772711183
1	0.6602136767
2	0.6406556007
3	0.6277347986
4	0.6151727432
5	0.6005005013
6	0.5862537007
7	0.5722664495
8	0.5628934746
9	0.5533837974
10	0.5446300017
11	0.5397452529
12	0.5340870404
13	0.5247148979
14	0.516083042
15	0.5081820374
16	0.5018282907
17	0.4955829674
18	0.4901143713
19	0.4833135559
20	0.4766799814
21	0.4722412278
22	0.4675055119
23	0.4627980001
24	0.4591969779
25	0.4547052863
26	0.450313219
27	0.4472607566
28	0.4431253979
29	0.4419131991
30	0.4387644224
31	0.4363343688
32	0.4338803656
33	0.4313983653
34	0.4302135164
35	0.4279000998
36	0.4249171575
37	0.4226469318
38	0.4217202875
39	0.4200897918
40	0.4190528105
41	0.4177338085
42	0.4152787119
43	0.4137823975
44	0.4126748042
45	0.4107319435
46	0.4104313329
47	0.409621046
48	0.4075008342
49	0.4063981758
50	0.4056007644
51	0.4036954818
52	0.4036216014
53	0.402102009
54	0.4005981573
55	0.3998276538
56	0.3992721034
57	0.3992184356
58	0.3986188318
59	0.3978880724
60	0.3958746547
61	0.3951612989
62	0.3949747004
63	0.3947877625
64	0.3945218834
65	0.3936050521
66	0.3934188691
67	0.3929067405
68	0.3919501674
69	0.3918342672
70	0.3917670383
71	0.3910480158
72	0.3903299099
73	0.3897788731
74	0.3893970955
75	0.389043987
76	0.3890281052
77	0.3878464489
78	0.3877131452
79	0.386812756
80	0.3858293953
81	0.3856678469
82	0.3855727899
83	0.3855624873
84	0.38542351
85	0.3848643532
86	0.3843924777
87	0.3839370234
88	0.383647659
89	0.3829452717
90	0.3823492042
91	0.3816751913
92	0.3811120322
93	0.3800253102
94	0.379590184
95	0.3789645294
96	0.3789078794
97	0.3784191201
98	0.3784153241
99	0.3783486781
100	0.3777668486
101	0.3773565656
102	0.3767509619
103	0.3758427565
104	0.3750371209
105	0.3748814683
106	0.3747393009
107	0.3746647623
108	0.3742708015
109	0.3734005974
110	0.372829533
111	0.3722533033
112	0.3716877211
113	0.3714149372
114	0.3712685359
115	0.3710002398
116	0.3704969453
117	0.3694998293
118	0.3683179208
119	0.3681090928
120	0.36753696
121	0.3675264419
122	0.3673840077
123	0.3672409766
124	0.3668272601
125	0.3666109824
126	0.3665801107
127	0.3665499894
128	0.3664987736
129	0.3660509302
130	0.3660388304
131	0.3658829534
132	0.3652558787
133	0.364476286
134	0.3641204758
135	0.3640131854
136	0.3635532018
137	0.3631029096
138	0.3627439382
139	0.3627266398
140	0.3626813853
