iter	Passed	Remaining
0	7	7094
1	18	9324
2	33	11232
3	44	10964
4	53	10636
5	68	11393
6	84	12018
7	102	12727
8	116	12837
9	130	12870
10	147	13229
11	160	13175
12	172	13093
13	189	13367
14	222	14614
15	247	15206
16	268	15543
17	287	15696
18	303	15693
19	320	15707
20	337	15727
21	346	15420
22	357	15196
23	373	15206
24	388	15156
25	405	15200
26	421	15199
27	437	15184
28	456	15271
29	463	14997
30	482	15071
31	499	15101
32	515	15105
33	528	15028
34	543	14988
35	560	14997
36	576	15006
37	590	14947
38	609	15012
39	619	14876
40	631	14773
41	647	14772
42	666	14842
43	683	14849
44	702	14908
45	721	14972
46	740	15012
47	762	15121
48	778	15102
49	793	15081
50	809	15057
51	824	15028
52	828	14807
53	844	14785
54	860	14781
55	875	14760
56	887	14682
57	891	14483
58	912	14546
59	927	14523
60	942	14506
61	957	14491
62	964	14339
63	973	14237
64	990	14244
65	1005	14236
66	1016	14156
67	1028	14100
68	1044	14088
69	1053	13998
70	1061	13889
71	1075	13863
72	1091	13864
73	1107	13857
74	1122	13845
75	1137	13834
76	1142	13692
77	1161	13726
78	1189	13864
79	1217	14006
80	1234	14010
81	1247	13970
82	1256	13882
83	1260	13747
84	1269	13670
85	1286	13668
86	1302	13667
87	1317	13653
88	1332	13642
89	1347	13629
90	1367	13664
91	1383	13652
92	1400	13656
93	1415	13641
94	1432	13642
95	1447	13630
96	1453	13535
97	1472	13556
98	1478	13455
99	1486	13379
100	1505	13399
101	1520	13386
102	1536	13377
103	1551	13367
104	1567	13359
105	1582	13345
106	1597	13335
107	1611	13311
108	1628	13311
109	1646	13323
110	1662	13318
111	1678	13310
112	1694	13302
113	1704	13250
114	1712	13182
115	1728	13169
116	1743	13154
117	1760	13160
118	1790	13254
119	1808	13265
120	1823	13243
121	1832	13188
122	1848	13182
123	1864	13170
124	1877	13143
125	1893	13131
126	1903	13082
127	1911	13025
128	1923	12986
129	1939	12977
130	1956	12975
131	1972	12968
132	1986	12949
133	2001	12938
134	2016	12921
135	2031	12905
136	2048	12901
137	2061	12879
138	2077	12867
139	2083	12799
140	2093	12754
