iter	Passed	Remaining
0	14	14000
1	29	14850
2	39	13013
3	55	13777
4	70	14053
5	94	15582
6	108	15397
7	123	15255
8	132	14548
9	152	15051
10	163	14689
11	176	14543
12	190	14460
13	199	14076
14	209	13744
15	220	13587
16	232	13451
17	240	13140
18	255	13172
19	262	12860
20	274	12806
21	292	13021
22	308	13092
23	324	13177
24	339	13234
25	350	13144
26	361	13038
27	370	12849
28	385	12914
29	397	12849
30	412	12906
31	430	13012
32	446	13096
33	463	13171
34	477	13158
35	493	13208
36	508	13232
37	520	13179
38	536	13209
39	551	13229
40	555	12995
41	571	13035
42	585	13034
43	601	13072
44	608	12922
45	625	12964
46	641	13001
47	653	12959
48	665	12915
49	684	13009
50	710	13214
51	723	13198
52	733	13106
53	744	13038
54	759	13043
55	774	13056
56	781	12926
57	796	12935
58	811	12944
59	826	12950
60	841	12959
61	856	12965
62	871	12966
63	890	13018
64	905	13026
65	913	12932
66	926	12908
67	938	12864
68	954	12879
69	963	12794
70	978	12801
71	993	12810
72	1009	12821
73	1031	12902
74	1046	12905
75	1062	12913
76	1077	12919
77	1093	12928
78	1107	12917
79	1124	12937
80	1146	13006
81	1170	13108
82	1189	13142
83	1206	13158
84	1221	13152
85	1237	13148
86	1243	13051
87	1254	13004
88	1269	12997
89	1285	12997
90	1301	12999
91	1305	12887
92	1322	12901
93	1339	12910
94	1348	12846
95	1364	12851
96	1379	12845
97	1395	12845
98	1449	13192
99	1460	13144
100	1506	13410
101	1533	13503
102	1550	13502
103	1566	13496
104	1572	13407
105	1578	13310
106	1591	13282
107	1602	13237
108	1618	13229
109	1634	13227
110	1650	13216
111	1669	13234
112	1685	13230
113	1702	13233
114	1731	13324
115	1740	13264
116	1755	13251
117	1771	13239
118	1778	13167
119	1792	13148
120	1809	13143
121	1824	13129
122	1838	13109
123	1854	13102
124	1874	13120
125	1888	13102
126	1898	13050
127	1904	12976
128	1919	12962
129	1928	12904
130	1943	12892
131	1951	12835
132	1961	12783
133	1969	12726
134	1984	12712
135	1998	12698
136	2017	12707
137	2032	12694
138	2048	12690
139	2056	12632
140	2071	12619
141	2085	12603
142	2096	12564
143	2113	12561
144	2126	12539
145	2145	12551
146	2175	12625
147	2181	12560
148	2197	12553
149	2203	12484
150	2218	12475
151	2233	12461
152	2248	12448
153	2273	12489
154	2293	12502
155	2309	12496
156	2326	12492
157	2331	12424
158	2356	12466
159	2380	12497
160	2420	12612
161	2444	12643
162	2469	12683
163	2493	12708
164	2510	12704
165	2525	12687
166	2540	12672
167	2555	12656
168	2571	12643
169	2586	12627
170	2604	12626
171	2620	12615
172	2627	12558
173	2642	12542
174	2657	12528
175	2672	12512
176	2689	12503
177	2701	12475
178	2725	12498
179	2746	12512
180	2769	12530
181	2804	12602
182	2811	12553
183	2828	12544
184	2843	12525
185	2847	12463
186	2862	12446
187	2877	12430
188	2885	12380
189	2901	12367
190	2916	12354
191	2932	12340
192	2948	12329
193	2960	12298
194	2968	12255
195	2984	12242
196	3000	12230
197	3011	12198
198	3021	12163
199	3037	12148
200	3050	12124
201	3064	12107
202	3071	12058
203	3086	12043
204	3102	12031
205	3112	11994
206	3126	11978
207	3142	11965
208	3157	11951
209	3178	11955
210	3211	12009
211	3227	11996
212	3242	11980
213	3257	11964
214	3273	11952
215	3288	11937
216	3297	11897
217	3313	11886
218	3329	11873
219	3341	11846
220	3358	11837
221	3373	11823
222	3389	11810
223	3404	11795
224	3420	11783
225	3438	11775
226	3450	11750
227	3465	11732
228	3480	11718
229	3498	11712
230	3513	11697
231	3530	11685
232	3546	11673
233	3561	11657
234	3576	11642
235	3582	11597
236	3599	11586
237	3608	11552
238	3623	11538
239	3645	11543
240	3655	11512
241	3662	11470
242	3677	11455
243	3685	11418
244	3692	11377
245	3708	11366
246	3724	11352
247	3739	11339
248	3745	11298
249	3846	11539
250	3877	11571
251	3893	11556
252	3904	11528
253	3919	11512
254	3939	11508
255	3955	11494
256	3970	11478
257	3981	11450
258	3997	11435
259	4012	11419
260	4029	11408
261	4043	11390
262	4058	11373
263	4075	11360
264	4094	11356
265	4110	11343
266	4117	11304
267	4133	11289
268	4148	11274
269	4164	11259
270	4180	11245
271	4196	11230
272	4212	11217
273	4229	11207
274	4247	11198
275	4264	11185
276	4282	11177
277	4302	11174
278	4322	11170
279	4341	11163
280	4355	11145
281	4371	11129
282	4387	11116
283	4435	11181
284	4463	11198
285	4491	11213
286	4516	11221
287	4543	11232
288	4570	11244
289	4592	11244
290	4609	11230
291	4624	11213
292	4640	11196
293	4660	11190
294	4678	11181
295	4704	11190
296	4724	11182
297	4741	11169
298	4756	11152
299	4772	11136
300	4787	11118
301	4804	11103
302	4821	11090
303	4837	11074
304	4853	11058
305	4890	11090
306	4910	11084
307	4926	11069
308	4941	11051
309	4957	11034
310	4972	11017
311	4988	10999
312	5003	10983
313	5021	10971
314	5040	10960
315	5055	10943
316	5071	10926
317	5086	10909
318	5102	10892
319	5117	10875
320	5133	10858
321	5148	10840
