iter	Logloss
0	0.652515375
1	0.605741815
2	0.5690225126
3	0.5427651722
4	0.5154505631
5	0.4985662958
6	0.4871375508
7	0.4738463797
8	0.4640756484
9	0.4577467792
10	0.4475001444
11	0.4434552973
12	0.4370312057
13	0.4321156417
14	0.4264465298
15	0.4221196347
16	0.4197144699
17	0.4167702909
18	0.4126569508
19	0.4103726559
20	0.40816517
21	0.4081228007
22	0.4060360751
23	0.4030143401
24	0.401621322
25	0.4014891567
26	0.4014778626
27	0.4005801055
28	0.3994519371
29	0.3984179399
30	0.3961718459
31	0.3951820342
32	0.3938726301
33	0.391290319
34	0.3905080139
35	0.3880306241
36	0.3861064322
37	0.3844803869
38	0.3831774603
39	0.3823618461
40	0.381766973
41	0.3804076987
42	0.3793395285
43	0.3774717818
44	0.3769507535
45	0.3759242618
46	0.3757235296
47	0.3757235227
48	0.3752637153
49	0.3751967588
50	0.374267871
51	0.3737229211
52	0.37343117
53	0.3726320388
54	0.371969016
55	0.3719513512
56	0.3705781752
57	0.3683839826
58	0.3677091103
59	0.367645209
60	0.3661978706
61	0.3649954832
62	0.3639105528
63	0.3633846419
64	0.3631775757
65	0.362565331
66	0.3607355595
67	0.3598713343
68	0.3596846352
69	0.3584529937
70	0.3584087071
71	0.3578837385
72	0.357282706
73	0.3563161695
74	0.3556671433
75	0.3556469925
76	0.3556157533
77	0.3547720048
78	0.354132378
79	0.3522473333
80	0.3510118594
81	0.3496474659
82	0.3478991962
83	0.3475890796
84	0.3475433364
85	0.3468462702
86	0.3467961888
87	0.3454960922
88	0.3444667155
89	0.3440389175
90	0.3430715439
91	0.340830869
92	0.3402569134
93	0.3369962248
94	0.3345811177
95	0.3344323838
96	0.3323982261
97	0.3322758388
98	0.3310512369
99	0.3284280394
100	0.32838369
101	0.3274231583
102	0.3266087226
103	0.3259818343
104	0.3254981239
105	0.3251307093
106	0.3228897688
107	0.321879738
108	0.3215818229
109	0.3215161692
110	0.3199860515
111	0.3193400712
112	0.3176804612
113	0.3171082147
114	0.3161492678
115	0.3136913732
116	0.313636615
117	0.311310224
118	0.3110188939
119	0.3090105968
120	0.3087287243
121	0.3081088109
122	0.3071151404
123	0.3065123305
124	0.3059552312
125	0.3052197676
126	0.3041943809
127	0.3038928227
128	0.3035906513
129	0.3031525223
130	0.3026455015
131	0.3021004019
132	0.3018791948
133	0.3017807653
134	0.3016893318
135	0.3011051674
136	0.300037286
137	0.2990992978
138	0.2988334752
139	0.2988163311
140	0.2983155925
141	0.2979329303
142	0.2971573954
143	0.2970232548
144	0.2962886385
145	0.2962345504
146	0.2958039531
147	0.2955100585
148	0.2954912719
149	0.2946735426
150	0.2935300031
151	0.2925997547
152	0.292265202
153	0.2918475059
154	0.2916134809
155	0.2915892135
156	0.290840651
157	0.290173461
158	0.2889245252
159	0.2882084764
160	0.287576673
161	0.2875579335
162	0.2872102778
163	0.2871789142
164	0.2866556481
165	0.2857277459
166	0.2853760933
167	0.2851671309
168	0.2850236715
169	0.2848843346
170	0.2843465762
171	0.2838474698
172	0.2837788573
173	0.2834524774
174	0.2830108572
175	0.2827917438
176	0.2807854674
177	0.2803770429
178	0.2799519936
179	0.2787831814
180	0.2785460181
181	0.2784711102
182	0.2783301334
183	0.2782174791
184	0.2774160877
185	0.2767829318
186	0.2766304298
187	0.2753630647
188	0.2741886426
189	0.273757565
190	0.27353347
191	0.2732835034
192	0.2725181046
193	0.2720972819
194	0.2710778
195	0.2701708146
196	0.2699260991
197	0.2696364055
198	0.2690268255
199	0.268971567
200	0.2689161807
201	0.268417772
202	0.2683696191
203	0.2681066541
204	0.2677122852
205	0.2675301689
206	0.2664309026
207	0.2658034137
208	0.2651043264
209	0.2647443294
210	0.2639409715
211	0.2637250452
212	0.2635436347
213	0.2627866943
214	0.262729226
215	0.2624408263
216	0.2617997377
217	0.26144133
218	0.260552811
219	0.2599112963
220	0.259381506
221	0.2590297647
222	0.258262785
223	0.2576235704
224	0.2574784492
225	0.2571371523
226	0.2571162328
227	0.2569424721
228	0.2560621307
229	0.2558321491
230	0.2557909184
231	0.2556998932
232	0.2551608017
233	0.255131894
234	0.2543901528
235	0.254114744
236	0.2540745465
237	0.2533000166
238	0.2530365065
239	0.2525144096
240	0.2516371448
241	0.2515809007
242	0.2505455364
243	0.2493524027
244	0.2487839945
245	0.2478130281
246	0.2476931443
247	0.2473133524
248	0.2470279909
249	0.2465112051
250	0.2462320556
251	0.2461653437
252	0.2458668204
253	0.2458304176
254	0.2455050935
255	0.245239993
256	0.2447400753
257	0.2443629107
258	0.2438630766
259	0.2434810121
260	0.2434658835
261	0.2434415435
262	0.2432945469
263	0.2426770733
264	0.2421718323
265	0.2417095395
266	0.2413603987
267	0.2410005212
268	0.2399653913
269	0.2397847886
270	0.2391643195
271	0.2388128056
272	0.2386423899
273	0.2378259078
274	0.2376752001
275	0.2369803288
276	0.2368041543
277	0.2366731051
278	0.2348072523
279	0.2345836894
280	0.2340838102
281	0.2338118187
282	0.2338057211
283	0.2332238119
284	0.2327579468
285	0.2317679867
286	0.2313965629
287	0.2302046944
288	0.2299872067
289	0.2294898228
290	0.2290147974
291	0.2284367007
292	0.2280230951
293	0.2277451879
294	0.2269969975
295	0.226844662
296	0.2264015488
297	0.2255898577
298	0.2252635429
299	0.2252430416
300	0.2249493529
301	0.224744893
302	0.2246584241
303	0.2244286819
304	0.224040513
