iter	Passed	Remaining
0	14	14712
1	30	15168
2	36	12263
3	46	11466
4	59	11819
5	67	11192
6	82	11746
7	98	12268
8	110	12168
9	121	12046
10	143	12921
11	161	13316
12	181	13762
13	205	14472
14	222	14594
15	237	14606
16	245	14222
17	257	14057
18	273	14115
19	288	14126
20	304	14188
21	316	14086
22	331	14079
23	362	14747
24	378	14768
25	394	14768
26	403	14550
27	412	14318
28	424	14209
29	437	14159
30	444	13885
31	459	13907
32	475	13924
33	491	13958
34	509	14037
35	526	14105
36	542	14129
37	558	14126
38	573	14136
39	585	14041
40	600	14036
41	615	14048
42	631	14059
43	645	14025
44	655	13905
45	670	13906
46	683	13869
47	700	13899
48	718	13948
49	738	14038
50	753	14018
51	771	14056
52	785	14043
53	802	14050
54	817	14048
55	834	14074
56	849	14055
57	857	13930
58	873	13925
59	889	13935
60	914	14071
61	924	13984
62	932	13863
63	949	13880
64	964	13878
65	980	13873
66	995	13865
67	1010	13851
68	1018	13746
69	1031	13710
70	1052	13776
71	1067	13765
72	1083	13760
73	1099	13753
74	1114	13744
75	1129	13730
76	1144	13716
77	1161	13732
78	1177	13730
79	1203	13835
80	1226	13915
81	1234	13825
82	1251	13829
83	1259	13736
84	1264	13607
85	1279	13599
86	1294	13589
87	1310	13584
88	1326	13573
89	1332	13475
90	1351	13495
91	1366	13486
92	1382	13487
93	1391	13413
94	1407	13403
95	1415	13327
96	1426	13280
97	1441	13268
98	1456	13259
99	1471	13247
100	1487	13242
101	1507	13269
102	1517	13216
103	1533	13210
104	1548	13202
105	1563	13189
106	1580	13191
107	1590	13137
108	1598	13069
109	1614	13058
110	1629	13048
111	1647	13062
112	1663	13055
113	1673	13002
114	1687	12986
115	1703	12980
116	1719	12980
117	1735	12973
118	1751	12966
119	1765	12945
120	1792	13024
121	1800	12958
122	1807	12885
123	1816	12832
124	1830	12815
125	1845	12798
126	1860	12787
127	1875	12774
128	1893	12785
129	1910	12782
130	1925	12775
131	1944	12789
132	1960	12779
133	1975	12767
134	1988	12743
135	1998	12695
136	2010	12666
137	2025	12652
138	2035	12607
139	2050	12595
140	2066	12587
141	2072	12523
142	2082	12483
143	2102	12497
144	2117	12485
145	2124	12426
146	2136	12397
147	2152	12390
148	2167	12380
149	2183	12373
150	2209	12424
151	2230	12443
152	2246	12438
153	2262	12428
154	2282	12445
155	2298	12433
156	2308	12395
157	2323	12384
158	2339	12373
159	2347	12325
160	2363	12314
161	2378	12304
162	2393	12292
163	2410	12288
164	2417	12234
165	2429	12208
166	2445	12199
167	2453	12151
168	2457	12085
169	2472	12073
170	2481	12028
171	2496	12016
172	2511	12007
173	2522	11976
174	2531	11933
175	2546	11924
176	2556	11886
177	2562	11834
178	2583	11850
179	2598	11837
180	2612	11822
181	2622	11786
182	2631	11748
183	2646	11738
184	2661	11725
185	2669	11682
186	2684	11670
187	2692	11630
188	2708	11623
189	2726	11623
190	2742	11617
191	2758	11609
192	2776	11609
193	2798	11627
194	2811	11606
195	2826	11593
196	2842	11584
197	2858	11578
198	2874	11570
199	2889	11559
200	2905	11548
201	2913	11507
202	2924	11482
203	2935	11455
204	2949	11439
205	2961	11414
206	2976	11403
207	2991	11389
208	3003	11365
209	3018	11355
210	3033	11343
211	3050	11339
212	3066	11330
213	3085	11333
