iter	Logloss
0	0.6753846633
1	0.6647428777
2	0.6506490398
3	0.6375339718
4	0.6237119068
5	0.6123998316
6	0.6006020383
7	0.5892643413
8	0.5785348118
9	0.5701594086
10	0.5607275126
11	0.5530549452
12	0.5486777089
13	0.5417880998
14	0.5379851989
15	0.533761179
16	0.5283146223
17	0.5225945494
18	0.5177488432
19	0.5150749309
20	0.5108390067
21	0.5043435096
22	0.4993395326
23	0.4953012741
24	0.4919120484
25	0.4877475246
26	0.484955791
27	0.4810933123
28	0.4781277413
29	0.4747619585
30	0.4704736449
31	0.4668209703
32	0.4659767636
33	0.4627771654
34	0.4623511498
35	0.4596708142
36	0.4562251128
37	0.4541472055
38	0.4527540257
39	0.4509135638
40	0.4496128377
41	0.4495002941
42	0.4464308832
43	0.4462387673
44	0.4458987919
45	0.4447899027
46	0.4434722502
47	0.4418558085
48	0.4413910212
49	0.4393191093
50	0.4373765997
51	0.4367516252
52	0.4357568458
53	0.434076911
54	0.4336960355
55	0.4326166965
56	0.432120227
57	0.4312583986
58	0.4304277009
59	0.4296158095
60	0.429135727
61	0.4281898857
62	0.427299587
63	0.4262204958
64	0.4249904233
65	0.4243167678
66	0.4234158275
67	0.4225018683
68	0.4216091387
69	0.4208132653
70	0.4200602965
71	0.4197547473
72	0.4187467804
73	0.4179055172
74	0.4169552021
75	0.4168847516
76	0.4158527334
77	0.4151527814
78	0.4146584657
79	0.414353283
80	0.4142410275
81	0.4134392815
82	0.4134123843
83	0.4130611691
84	0.412752605
85	0.4123499161
86	0.4118488995
87	0.4118438728
88	0.4115547568
89	0.4114618197
90	0.4109775231
91	0.4109692802
92	0.4107196367
93	0.410676937
94	0.4104873351
95	0.4100360843
96	0.4097244585
97	0.4093324705
98	0.409060883
99	0.4089661328
100	0.4084768662
101	0.4083524026
102	0.4076615748
103	0.4070176761
104	0.4065295488
105	0.4063565596
106	0.4062890023
107	0.4050273536
108	0.4049814332
109	0.404929057
110	0.4043421448
111	0.4039441085
112	0.4032507801
113	0.4030010992
114	0.4024808511
115	0.4020511463
116	0.4020175081
117	0.4016999081
118	0.401206127
119	0.4007156229
120	0.4006465175
121	0.4003756402
122	0.4001309395
123	0.4000405246
124	0.3996208495
125	0.3994031967
126	0.3991352545
127	0.3990564757
128	0.3990418873
129	0.3986017351
130	0.3985496037
131	0.3983266498
132	0.398223367
133	0.3980195979
134	0.3976832474
135	0.3968430268
136	0.3966483715
137	0.3964443637
138	0.3964399061
139	0.395752589
140	0.3952041446
141	0.394814522
142	0.3943875167
143	0.3942653324
144	0.3938937722
145	0.393194228
146	0.3929458125
147	0.3927738299
148	0.3927406133
149	0.3925421979
150	0.3924964589
151	0.3924964569
152	0.3921540743
153	0.3917962796
154	0.3912137723
155	0.3910562544
156	0.3909122314
157	0.3909091433
158	0.3908045726
159	0.3907873423
160	0.390635554
161	0.3902832493
162	0.3897637107
163	0.3894335702
164	0.3889379604
165	0.388418498
166	0.3882192308
167	0.3881863114
168	0.3871956342
169	0.3865665856
170	0.3859890492
171	0.385774731
172	0.385387263
173	0.3850693499
174	0.3848509417
175	0.3839342967
176	0.3838883124
177	0.3838822862
178	0.3838822845
179	0.3835025379
180	0.3831372957
181	0.383008336
182	0.3829983716
183	0.3826645716
184	0.3822798581
185	0.3815407794
186	0.381470038
187	0.3812167325
188	0.380742461
189	0.3807139384
190	0.3802662
191	0.3796476329
192	0.379536251
193	0.3792969871
194	0.3787726616
195	0.3785675278
196	0.3783392268
197	0.3780873296
198	0.3774304028
199	0.3774248268
200	0.3772004762
201	0.377199601
202	0.3769719671
203	0.3765380727
204	0.3764415729
205	0.3761456087
206	0.3759276654
207	0.3756011557
208	0.3754947454
209	0.3753261001
210	0.3751968197
211	0.375151037
212	0.374947737
213	0.3748630356
214	0.374775983
215	0.3746590359
216	0.3743467204
217	0.3742436149
218	0.3738695863
219	0.3738460668
220	0.3737638347
221	0.3736301329
222	0.3735915473
223	0.3734809593
224	0.3733310061
225	0.3731973011
226	0.3730600983
227	0.3728346395
228	0.3726210292
229	0.372353232
230	0.3723012464
231	0.3717774086
232	0.3713067953
233	0.3709294199
234	0.3708865655
235	0.3704532672
236	0.3704192426
237	0.3703156025
238	0.3693622145
239	0.368837986
240	0.3687160299
241	0.3686834633
242	0.3678457179
243	0.3677181402
244	0.3677140221
245	0.3674886614
246	0.3671383974
247	0.3670316907
248	0.3666532473
249	0.3661113821
250	0.3660797553
251	0.3659822926
252	0.3658028162
253	0.3655384147
254	0.3652059166
255	0.3651018069
256	0.3650981072
257	0.3650878582
258	0.3650602119
259	0.3649451693
260	0.3647688615
261	0.3645670494
262	0.364497441
263	0.3644717625
264	0.3641904216
265	0.3640124139
266	0.3637954098
267	0.3637097966
268	0.3631166962
269	0.3630299866
270	0.362725244
271	0.3622863944
272	0.3621507924
273	0.3618757898
274	0.3617955114
275	0.3616284355
276	0.361393975
