iter	Passed	Remaining
406	6452	9401
407	6468	9385
408	6483	9369
409	6499	9352
410	6514	9336
411	6530	9319
412	6545	9303
413	6566	9295
414	6581	9277
415	6595	9259
416	6611	9242
417	6627	9227
418	6643	9211
419	6658	9195
420	6673	9177
421	6693	9168
422	6709	9152
423	6725	9136
424	6740	9120
425	6754	9101
426	6771	9086
427	6786	9069
428	6802	9053
429	6817	9037
430	6837	9026
431	6852	9009
432	6868	8994
433	6887	8982
434	6925	8995
435	6941	8979
436	6957	8963
437	6972	8946
438	6987	8929
439	7002	8911
440	7017	8895
441	7032	8878
442	7050	8865
443	7066	8849
444	7081	8832
445	7099	8818
446	7115	8802
447	7132	8788
448	7148	8772
449	7164	8756
450	7180	8740
451	7199	8729
452	7215	8712
453	7235	8702
454	7250	8684
455	7265	8667
456	7280	8650
457	7296	8634
458	7312	8618
459	7327	8601
460	7347	8590
461	7368	8581
462	7393	8574
463	7409	8558
464	7424	8542
465	7439	8525
466	7454	8508
467	7469	8490
468	7486	8476
469	7503	8461
470	7519	8445
471	7534	8428
472	7549	8411
473	7564	8394
474	7581	8379
475	7597	8364
476	7614	8348
477	7632	8335
478	7650	8321
479	7666	8305
480	7681	8288
481	7696	8271
482	7713	8256
483	7728	8239
484	7745	8225
485	7760	8207
486	7774	8189
487	7795	8178
488	7809	8160
489	7824	8144
490	7841	8128
491	7856	8111
492	7871	8094
493	7886	8077
494	7901	8061
495	7919	8047
496	7964	8061
497	7983	8047
498	7998	8030
499	8014	8014
500	8029	7997
501	8047	7983
502	8061	7965
503	8078	7950
504	8096	7936
505	8111	7919
506	8126	7902
507	8143	7887
508	8159	7870
509	8174	7854
510	8190	7838
511	8208	7824
512	8230	7813
513	8246	7797
514	8262	7780
515	8277	7764
516	8293	7747
517	8308	7731
518	8324	7715
519	8340	7699
520	8355	7681
521	8369	7663
522	8391	7653
523	8411	7640
524	8433	7629
525	8449	7614
526	8465	7597
527	8481	7582
528	8496	7565
529	8511	7548
530	8531	7535
531	8546	7518
532	8561	7501
533	8577	7484
534	8592	7468
535	8609	7453
536	8625	7436
537	8640	7420
538	8656	7403
539	8675	7390
540	8691	7374
541	8707	7358
542	8723	7341
543	8738	7325
544	8753	7307
545	8768	7291
546	8784	7274
547	8800	7258
548	8815	7241
549	8839	7232
550	8854	7215
551	8870	7199
552	8886	7183
553	8902	7166
554	8917	7150
555	8933	7133
556	8948	7116
557	8966	7102
558	8987	7090
559	9023	7089
560	9041	7075
561	9057	7058
562	9071	7041
563	9088	7025
564	9104	7009
565	9120	6993
566	9138	6978
567	9153	6961
568	9168	6944
569	9184	6928
570	9203	6914
571	9220	6899
572	9236	6883
573	9251	6866
574	9266	6849
575	9284	6834
576	9299	6817
577	9315	6801
578	9330	6784
579	9345	6767
580	9361	6751
581	9377	6734
582	9393	6718
583	9409	6702
584	9423	6684
585	9444	6672
586	9463	6658
587	9484	6645
588	9503	6631
589	9518	6614
590	9535	6598
591	9550	6582
592	9565	6565
593	9582	6549
594	9596	6532
595	9612	6516
596	9637	6505
597	9657	6492
598	9673	6475
599	9689	6459
600	9703	6442
601	9718	6425
602	9733	6408
603	9748	6391
604	9764	6375
605	9783	6360
606	9798	6343
607	9814	6327
608	9829	6310
609	9844	6294
610	9860	6277
611	9875	6261
612	9891	6244
613	9907	6228
614	9926	6214
615	9941	6197
616	9956	6180
617	9972	6164
618	9988	6147
619	10003	6131
620	10020	6115
621	10039	6101
622	10081	6100
623	10098	6084
624	10113	6068
625	10128	6051
626	10143	6034
627	10159	6017
628	10174	6001
629	10194	5987
630	10210	5971
631	10229	5956
632	10244	5939
633	10259	5922
634	10275	5906
635	10291	5890
636	10307	5873
637	10322	5857
638	10337	5840
639	10352	5823
640	10374	5810
641	10389	5793
642	10406	5777
643	10422	5761
644	10437	5744
645	10452	5728
646	10468	5711
647	10483	5694
648	10500	5679
649	10525	5667
650	10552	5657
651	10569	5641
652	10584	5624
653	10599	5607
654	10616	5592
655	10631	5575
656	10647	5558
657	10663	5542
658	10680	5526
659	10695	5509
660	10711	5493
661	10726	5476
662	10743	5461
663	10760	5444
664	10774	5427
665	10789	5410
666	10805	5394
667	10826	5380
668	10843	5364
669	10858	5348
670	10875	5332
671	10891	5315
672	10907	5299
673	10922	5282
674	10936	5265
675	10953	5249
676	10972	5235
677	10986	5218
678	11002	5201
679	11017	5184
680	11032	5168
681	11049	5151
682	11066	5136
683	11105	5130
684	11126	5116
685	11142	5100
686	11158	5083
687	11175	5067
688	11192	5052
689	11208	5035
690	11223	5018
691	11239	5002
692	11254	4985
693	11272	4970
694	11288	4953
695	11304	4937
696	11318	4920
697	11332	4903
698	11347	4886
699	11364	4870
700	11380	4854
701	11395	4837
702	11414	4822
703	11429	4805
704	11444	4788
705	11459	4772
706	11476	4756
707	11492	4739
708	11507	4723
709	11522	4706
710	11550	4695
711	11582	4685
712	11658	4692
713	11694	4684
714	11722	4672
715	11738	4655
716	11753	4639
717	11772	4623
718	11789	4607
719	11804	4590
720	11819	4573
721	11834	4556
722	11850	4540
723	11864	4522
724	11879	4505
725	11897	4490
726	11915	4474
727	11931	4458
728	11947	4441
729	11963	4424
730	11978	4408
731	11994	4391
732	12008	4374
733	12023	4357
734	12038	4340
735	12055	4324
736	12073	4308
737	12088	4291
738	12110	4277
739	12145	4267
740	12169	4253
741	12185	4237
742	12200	4220
743	12215	4203
744	12231	4186
745	12247	4169
746	12264	4153
747	12280	4137
748	12296	4120
749	12311	4103
750	12328	4087
751	12343	4070
752	12359	4054
753	12376	4037
754	12395	4022
755	12411	4005
756	12427	3989
757	12443	3972
758	12459	3956
759	12474	3939
760	12490	3922
761	12505	3905
762	12520	3889
763	12536	3872
764	12560	3858
765	12587	3845
766	12608	3830
767	12624	3813
768	12641	3797
769	12656	3780
770	12672	3763
771	12691	3748
772	12706	3731
773	12721	3714
774	12736	3697
775	12752	3681
776	12769	3664
777	12785	3648
778	12800	3631
779	12814	3614
780	12829	3597
781	12851	3582
782	12867	3566
783	12883	3549
784	12899	3532
785	12913	3516
786	12928	3499
787	12944	3482
788	12960	3465
789	12975	3449
790	12992	3432
791	13008	3416
792	13022	3399
793	13041	3383
794	13056	3366
795	13071	3350
796	13087	3333
797	13103	3316
798	13119	3300
799	13137	3284
800	13179	3274
801	13203	3259
802	13219	3243
803	13235	3226
804	13250	3209
805	13267	3193
806	13283	3176
807	13297	3159
808	13315	3143
809	13331	3127
810	13350	3111
811	13366	3094
812	13381	3077
813	13396	3061
814	13411	3044
815	13428	3028
816	13444	3011
817	13460	2994
818	13476	2978
819	13491	2961
820	13516	2946
821	13532	2930
822	13549	2913
823	13565	2897
824	13580	2880
825	13595	2863
826	13616	2848
827	13648	2835
828	13670	2819
829	13686	2803
830	13701	2786
831	13717	2769
832	13733	2753
833	13748	2736
834	13764	2719
835	13780	2703
836	13795	2686
837	13813	2670
838	13829	2653
839	13845	2637
840	13861	2620
841	13876	2603
842	13891	2587
843	13907	2570
844	13925	2554
845	13942	2537
846	13959	2521
847	13976	2505
848	13990	2488
849	14006	2471
850	14024	2455
851	14039	2438
852	14055	2422
853	14071	2405
854	14086	2388
855	14104	2372
856	14122	2356
857	14140	2340
858	14158	2324
859	14177	2307
860	14214	2294
861	14236	2279
862	14254	2262
863	14269	2246
864	14284	2229
865	14301	2212
866	14316	2196
867	14334	2179
868	14353	2163
869	14368	2147
870	14384	2130
871	14399	2113
872	14415	2097
873	14431	2080
874	14447	2063
875	14464	2047
876	14480	2030
877	14499	2014
878	14514	1997
879	14531	1981
880	14547	1964
881	14563	1948
882	14579	1931
883	14593	1914
884	14608	1898
885	14623	1881
886	14642	1865
887	14664	1849
888	14686	1833
889	14704	1817
890	14720	1800
891	14736	1784
892	14751	1767
893	14768	1751
894	14787	1734
895	14802	1718
896	14818	1701
897	14834	1685
898	14850	1668
899	14866	1651
900	14882	1635
901	14897	1618
902	14913	1602
903	14932	1585
904	14948	1569
905	14964	1552
906	14980	1536
907	14997	1519
908	15012	1502
909	15028	1486
910	15044	1469
911	15060	1453
912	15075	1436
913	15094	1420
914	15110	1403
915	15128	1387
916	15145	1370
917	15161	1354
918	15176	1337
919	15193	1321
920	15208	1304
921	15225	1288
922	15247	1272
923	15365	1263
924	15383	1247
925	15399	1230
926	15418	1214
927	15433	1197
928	15448	1180
929	15463	1163
930	15479	1147
931	15494	1130
932	15509	1113
933	15525	1097
934	15541	1080
935	15559	1063
936	15573	1047
937	15588	1030
938	15604	1013
939	15621	997
940	15637	980
941	15653	963
942	15668	947
943	15684	930
944	15700	913
945	15719	897
946	15735	880
947	15751	863
948	15766	847
949	15782	830
950	15803	814
951	15828	798
952	15850	781
953	15865	765
954	15880	748
955	15895	731
956	15910	714
957	15926	698
958	15942	681
959	15958	664
960	15973	648
961	15991	631
962	16007	615
963	16022	598
964	16038	581
965	16054	565
966	16069	548
967	16084	531
968	16099	515
969	16117	498
970	16137	481
971	16154	465
972	16168	448
973	16184	432
974	16199	415
